time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
560,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['3', '9']",['1'],[None]
560,3 dispatched to IO0,dispatch_io,3,IO0,[],['9'],['1'],['3']
565,1 finished all bursts,finished,1,CPU0,[],['9'],[None],['3']
570,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],['9'],[None],[None]
570,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['9'],['3'],[None]
570,9 dispatched to IO0,dispatch_io,9,IO0,[],[],['3'],['9']
577,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,['3'],[],[None],['9']
577,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],[],['3'],['9']
582,3 finished CPU → wait queue,cpu_to_io,3,CPU0,[],['3'],[None],['9']
589,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],['3'],[None],[None]
589,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],['3'],['9'],[None]
589,3 dispatched to IO0,dispatch_io,3,IO0,[],[],['9'],['3']
593,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],['9'],[None],['3']
610,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],['9'],[None],[None]
610,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['9'],['3'],[None]
610,9 dispatched to IO0,dispatch_io,9,IO0,[],[],['3'],['9']
616,3 finished CPU → wait queue,cpu_to_io,3,CPU0,[],['3'],[None],['9']
624,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],['3'],[None],[None]
624,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],['3'],['9'],[None]
624,3 dispatched to IO0,dispatch_io,3,IO0,[],[],['9'],['3']
634,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],['9'],[None],['3']
635,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],['9'],[None],[None]
635,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['9'],['3'],[None]
635,9 dispatched to IO0,dispatch_io,9,IO0,[],[],['3'],['9']
642,3 finished all bursts,finished,3,CPU0,[],[],[None],['9']
651,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],[],[None],[None]
651,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],[],['9'],[None]
661,9 finished all bursts,finished,9,CPU0,[],[],[None],[None]
